,Title,Character
0,Enter: Naruto Uzumaki!,Naruto Uzumaki
1,Enter: Naruto Uzumaki!,Sasuke Uchiha
2,Enter: Naruto Uzumaki!,Sakura Haruno
3,Enter: Naruto Uzumaki!,Third Hokage: Sarutobi
4,Enter: Naruto Uzumaki!,Iruka
5,Enter: Naruto Uzumaki!,Shikamaru Nara
6,Enter: Naruto Uzumaki!,Ino Yamanaka
7,Enter: Naruto Uzumaki!,Hinata Hyūga
8,Enter: Naruto Uzumaki!,Mizuki
9,Enter: Naruto Uzumaki!,Bekkō
10,Enter: Naruto Uzumaki!,Iwana
11,Enter: Naruto Uzumaki!,Yajirobee
12,Enter: Naruto Uzumaki!,Ibara
13,Enter: Naruto Uzumaki!,Tsubaki
14,Enter: Naruto Uzumaki!,Yoshimitsu Shimoyama
15,Enter: Naruto Uzumaki!,Tomo Shigematsu
16,Enter: Naruto Uzumaki!,Iruka (boyhood)
17,My Name is Konohamaru!,Naruto Uzumaki
18,My Name is Konohamaru!,Konohamaru
19,My Name is Konohamaru!,Third Hokage: Sarutobi
20,My Name is Konohamaru!,Iruka
21,My Name is Konohamaru!,Ebisu
22,My Name is Konohamaru!,Genzō
23,My Name is Konohamaru!,Yuki Masuda
24,My Name is Konohamaru!,Gal Naruto
25,Sasuke and Sakura: Friends or Foes?,Naruto Uzumaki
26,Sasuke and Sakura: Friends or Foes?,Sasuke Uchiha
27,Sasuke and Sakura: Friends or Foes?,Sakura Haruno
28,Sasuke and Sakura: Friends or Foes?,Kakashi Hatake
29,Sasuke and Sakura: Friends or Foes?,Iruka
30,Sasuke and Sakura: Friends or Foes?,Shikamaru Nara
31,Sasuke and Sakura: Friends or Foes?,Ino Yamanaka
32,Sasuke and Sakura: Friends or Foes?,Hinata Hyūga
33,Sasuke and Sakura: Friends or Foes?,Chōji Akimichi
34,Sasuke and Sakura: Friends or Foes?,Kiba Inuzuka
35,Sasuke and Sakura: Friends or Foes?,Third Hokage: Sarutobi
36,Sasuke and Sakura: Friends or Foes?,Konohamaru
37,Sasuke and Sakura: Friends or Foes?,Asuma Sarutobi
38,Sasuke and Sakura: Friends or Foes?,Kurenai Yūhi
39,Sasuke and Sakura: Friends or Foes?,Tobio
40,Sasuke and Sakura: Friends or Foes?,Sakura's mother
41,Sasuke and Sakura: Friends or Foes?,Masayo Hosono
42,Pass or Fail: Survival Test,Naruto Uzumaki
43,Pass or Fail: Survival Test,Sasuke Uchiha
44,Pass or Fail: Survival Test,Sakura Haruno
45,Pass or Fail: Survival Test,Kakashi Hatake
46,Pass or Fail: Survival Test,Iruka
47,Pass or Fail: Survival Test,Third Hokage: Sarutobi
48,You Failed! Kakashi's Final Decision,Naruto Uzumaki
49,You Failed! Kakashi's Final Decision,Sasuke Uchiha
50,You Failed! Kakashi's Final Decision,Sakura Haruno
51,You Failed! Kakashi's Final Decision,Kakashi Hatake
52,You Failed! Kakashi's Final Decision,Iruka
53,You Failed! Kakashi's Final Decision,Third Hokage: Sarutobi
54,A Dangerous Mission! Journey to the Land of Waves!,Naruto Uzumaki
55,A Dangerous Mission! Journey to the Land of Waves!,Sasuke Uchiha
56,A Dangerous Mission! Journey to the Land of Waves!,Sakura Haruno
57,A Dangerous Mission! Journey to the Land of Waves!,Kakashi Hatake
58,A Dangerous Mission! Journey to the Land of Waves!,Iruka
59,A Dangerous Mission! Journey to the Land of Waves!,Third Hokage: Sarutobi
60,A Dangerous Mission! Journey to the Land of Waves!,Tazuna
61,A Dangerous Mission! Journey to the Land of Waves!,Zabuza Momochi
62,A Dangerous Mission! Journey to the Land of Waves!,Gatō
63,A Dangerous Mission! Journey to the Land of Waves!,Meizu
64,A Dangerous Mission! Journey to the Land of Waves!,Shijimi
65,The Assassin of the Mist!,Naruto Uzumaki
66,The Assassin of the Mist!,Sasuke Uchiha
67,The Assassin of the Mist!,Sakura Haruno
68,The Assassin of the Mist!,Kakashi Hatake
69,The Assassin of the Mist!,Zabuza Momochi
70,The Assassin of the Mist!,Tazuna
71,The Assassin of the Mist!,Kaji
72,The Oath of Pain,Naruto Uzumaki
73,The Oath of Pain,Sasuke Uchiha
74,The Oath of Pain,Sakura Haruno
75,The Oath of Pain,Kakashi Hatake
76,The Oath of Pain,Zabuza Momochi
77,The Oath of Pain,Tazuna
78,Kakashi: Sharingan Warrior!,Naruto Uzumaki
79,Kakashi: Sharingan Warrior!,Sasuke Uchiha
80,Kakashi: Sharingan Warrior!,Sakura Haruno
81,Kakashi: Sharingan Warrior!,Kakashi Hatake
82,Kakashi: Sharingan Warrior!,Tazuna
83,Kakashi: Sharingan Warrior!,Zabuza Momochi
84,Kakashi: Sharingan Warrior!,Haku
85,The Forest of Chakra,Naruto Uzumaki
86,The Forest of Chakra,Sasuke Uchiha
87,The Forest of Chakra,Sakura Haruno
88,The Forest of Chakra,Kakashi Hatake
89,The Forest of Chakra,Tazuna
90,The Forest of Chakra,Tsunami
91,The Forest of Chakra,Inari
92,The Forest of Chakra,Zabuza Momochi
93,The Forest of Chakra,Haku
94,The Forest of Chakra,Gatō
95,The Forest of Chakra,Waraji
96,The Forest of Chakra,Zōri
97,The Land Where a Hero Once Lived,Naruto Uzumaki
98,The Land Where a Hero Once Lived,Sasuke Uchiha
99,The Land Where a Hero Once Lived,Sakura Haruno
100,The Land Where a Hero Once Lived,Kakashi Hatake
101,The Land Where a Hero Once Lived,Tazuna
102,The Land Where a Hero Once Lived,Tsunami
103,The Land Where a Hero Once Lived,Inari
104,The Land Where a Hero Once Lived,Kaiza
105,The Land Where a Hero Once Lived,Giichi
106,The Land Where a Hero Once Lived,Gatō
107,The Land Where a Hero Once Lived,Akane
108,The Land Where a Hero Once Lived,Ageha
109,The Land Where a Hero Once Lived,Hiroaki Ishikawa
110,Battle on the Bridge! Zabuza Returns!,Naruto Uzumaki
111,Battle on the Bridge! Zabuza Returns!,Sasuke Uchiha
112,Battle on the Bridge! Zabuza Returns!,Sakura Haruno
113,Battle on the Bridge! Zabuza Returns!,Kakashi Hatake
114,Battle on the Bridge! Zabuza Returns!,Tazuna
115,Battle on the Bridge! Zabuza Returns!,Tsunami
116,Battle on the Bridge! Zabuza Returns!,Inari
117,Battle on the Bridge! Zabuza Returns!,Zabuza Momochi
118,Battle on the Bridge! Zabuza Returns!,Haku
119,Battle on the Bridge! Zabuza Returns!,Gatō
120,Battle on the Bridge! Zabuza Returns!,Kaiza
121,Haku's Secret Jutsu: Demonic Mirroring Ice Crystals,Naruto Uzumaki
122,Haku's Secret Jutsu: Demonic Mirroring Ice Crystals,Sasuke Uchiha
123,Haku's Secret Jutsu: Demonic Mirroring Ice Crystals,Sakura Haruno
124,Haku's Secret Jutsu: Demonic Mirroring Ice Crystals,Kakashi Hatake
125,Haku's Secret Jutsu: Demonic Mirroring Ice Crystals,Tazuna
126,Haku's Secret Jutsu: Demonic Mirroring Ice Crystals,Tsunami
127,Haku's Secret Jutsu: Demonic Mirroring Ice Crystals,Inari
128,Haku's Secret Jutsu: Demonic Mirroring Ice Crystals,Zabuza Momochi
129,Haku's Secret Jutsu: Demonic Mirroring Ice Crystals,Haku
130,Haku's Secret Jutsu: Demonic Mirroring Ice Crystals,Waraji
131,Haku's Secret Jutsu: Demonic Mirroring Ice Crystals,Zōri
132,"The Number One Hyperactive, Knucklehead Ninja Joins the Fight!",Naruto Uzumaki
133,"The Number One Hyperactive, Knucklehead Ninja Joins the Fight!",Sasuke Uchiha
134,"The Number One Hyperactive, Knucklehead Ninja Joins the Fight!",Sakura Haruno
135,"The Number One Hyperactive, Knucklehead Ninja Joins the Fight!",Kakashi Hatake
136,"The Number One Hyperactive, Knucklehead Ninja Joins the Fight!",Tazuna
137,"The Number One Hyperactive, Knucklehead Ninja Joins the Fight!",Zabuza Momochi
138,"The Number One Hyperactive, Knucklehead Ninja Joins the Fight!",Haku
139,"The Number One Hyperactive, Knucklehead Ninja Joins the Fight!",Toshihiko Seki
140,Zero Visibility: The Sharingan Shatters,Naruto Uzumaki
141,Zero Visibility: The Sharingan Shatters,Sasuke Uchiha
142,Zero Visibility: The Sharingan Shatters,Sakura Haruno
143,Zero Visibility: The Sharingan Shatters,Kakashi Hatake
144,Zero Visibility: The Sharingan Shatters,Tazuna
145,Zero Visibility: The Sharingan Shatters,Zabuza Momochi
146,Zero Visibility: The Sharingan Shatters,Haku
147,The Broken Seal,Naruto Uzumaki
148,The Broken Seal,Sasuke Uchiha
149,The Broken Seal,Sakura Haruno
150,The Broken Seal,Kakashi Hatake
151,The Broken Seal,Zabuza Momochi
152,The Broken Seal,Haku
153,White Past: Hidden Ambition,Naruto Uzumaki
154,White Past: Hidden Ambition,Sasuke Uchiha
155,White Past: Hidden Ambition,Sakura Haruno
156,White Past: Hidden Ambition,Kakashi Hatake
157,White Past: Hidden Ambition,Tazuna
158,White Past: Hidden Ambition,Zabuza Momochi
159,White Past: Hidden Ambition,Haku
160,White Past: Hidden Ambition,Haku's mother
161,The Weapons Known as Shinobi,Naruto Uzumaki
162,The Weapons Known as Shinobi,Sasuke Uchiha
163,The Weapons Known as Shinobi,Sakura Haruno
164,The Weapons Known as Shinobi,Kakashi Hatake
165,The Weapons Known as Shinobi,Tazuna
166,The Weapons Known as Shinobi,Tsunami
167,The Weapons Known as Shinobi,Inari
168,The Weapons Known as Shinobi,Kaiza
169,The Weapons Known as Shinobi,Zabuza Momochi
170,The Weapons Known as Shinobi,Haku
171,The Weapons Known as Shinobi,Gatō
172,The Weapons Known as Shinobi,Giichi
173,The Weapons Known as Shinobi,Agari
174,The Demon in the Snow,Naruto Uzumaki
175,The Demon in the Snow,Sasuke Uchiha
176,The Demon in the Snow,Sakura Haruno
177,The Demon in the Snow,Kakashi Hatake
178,The Demon in the Snow,Tazuna
179,The Demon in the Snow,Tsunami
180,The Demon in the Snow,Inari
181,The Demon in the Snow,Giichi
182,The Demon in the Snow,Gatō
183,The Demon in the Snow,Kissei Kumamoto
184,The Demon in the Snow,Zabuza Momochi
185,The Demon in the Snow,Haku
186,A New Chapter Begins: The Chūnin Exam!,Naruto Uzumaki
187,A New Chapter Begins: The Chūnin Exam!,Sasuke Uchiha
188,A New Chapter Begins: The Chūnin Exam!,Sakura Haruno
189,A New Chapter Begins: The Chūnin Exam!,Kakashi Hatake
190,A New Chapter Begins: The Chūnin Exam!,Iruka
191,A New Chapter Begins: The Chūnin Exam!,Third Hokage: Sarutobi
192,A New Chapter Begins: The Chūnin Exam!,Asuma Sarutobi
193,A New Chapter Begins: The Chūnin Exam!,Kurenai Yūhi
194,A New Chapter Begins: The Chūnin Exam!,Konohamaru
195,A New Chapter Begins: The Chūnin Exam!,Moegi
196,A New Chapter Begins: The Chūnin Exam!,Udon
197,A New Chapter Begins: The Chūnin Exam!,Gaara
198,A New Chapter Begins: The Chūnin Exam!,Temari
199,A New Chapter Begins: The Chūnin Exam!,Kankurō
200,A New Chapter Begins: The Chūnin Exam!,Ino Yamanaka
201,A New Chapter Begins: The Chūnin Exam!,Shikamaru Nara
202,A New Chapter Begins: The Chūnin Exam!,Chōji Akimichi
203,A New Chapter Begins: The Chūnin Exam!,Hinata Hyūga
204,A New Chapter Begins: The Chūnin Exam!,Kiba Inuzuka
205,Identify Yourself: Powerful New Rivals,Naruto Uzumaki
206,Identify Yourself: Powerful New Rivals,Sasuke Uchiha
207,Identify Yourself: Powerful New Rivals,Sakura Haruno
208,Identify Yourself: Powerful New Rivals,Kakashi Hatake
209,Identify Yourself: Powerful New Rivals,Iruka
210,Identify Yourself: Powerful New Rivals,Third Hokage: Sarutobi
211,Identify Yourself: Powerful New Rivals,Asuma Sarutobi
212,Identify Yourself: Powerful New Rivals,Kurenai Yūhi
213,Identify Yourself: Powerful New Rivals,Gaara
214,Identify Yourself: Powerful New Rivals,Temari
215,Identify Yourself: Powerful New Rivals,Kankurō
216,Identify Yourself: Powerful New Rivals,Rock Lee
217,Identify Yourself: Powerful New Rivals,Neji Hyūga
218,Identify Yourself: Powerful New Rivals,Tenten
219,Identify Yourself: Powerful New Rivals,Konohamaru
220,Identify Yourself: Powerful New Rivals,Moegi
221,Identify Yourself: Powerful New Rivals,Udon
222,Identify Yourself: Powerful New Rivals,Kotetsu Hagane
223,Identify Yourself: Powerful New Rivals,Izumo Kamizuki
224,Identify Yourself: Powerful New Rivals,Zaku Abumi
225,Identify Yourself: Powerful New Rivals,Dosu Kinuta
226,Identify Yourself: Powerful New Rivals,Wataru Takagi
227,Chūnin Challenge: Rock Lee vs. Sasuke!,Naruto Uzumaki
228,Chūnin Challenge: Rock Lee vs. Sasuke!,Sasuke Uchiha
229,Chūnin Challenge: Rock Lee vs. Sasuke!,Sakura Haruno
230,Chūnin Challenge: Rock Lee vs. Sasuke!,Might Guy
231,Chūnin Challenge: Rock Lee vs. Sasuke!,Rock Lee
232,Chūnin Challenge: Rock Lee vs. Sasuke!,Neji Hyūga
233,Chūnin Challenge: Rock Lee vs. Sasuke!,Tenten
234,Chūnin Challenge: Rock Lee vs. Sasuke!,Ningame
235,Genin Takedown! All Nine Rookies Face Off!,Naruto Uzumaki
236,Genin Takedown! All Nine Rookies Face Off!,Sasuke Uchiha
237,Genin Takedown! All Nine Rookies Face Off!,Sakura Haruno
238,Genin Takedown! All Nine Rookies Face Off!,Kakashi Hatake
239,Genin Takedown! All Nine Rookies Face Off!,Iruka
240,Genin Takedown! All Nine Rookies Face Off!,Third Hokage: Sarutobi
241,Genin Takedown! All Nine Rookies Face Off!,Might Guy
242,Genin Takedown! All Nine Rookies Face Off!,Gaara
243,Genin Takedown! All Nine Rookies Face Off!,Temari
244,Genin Takedown! All Nine Rookies Face Off!,Kankurō
245,Genin Takedown! All Nine Rookies Face Off!,Rock Lee
246,Genin Takedown! All Nine Rookies Face Off!,Neji Hyūga
247,Genin Takedown! All Nine Rookies Face Off!,Tenten
248,Genin Takedown! All Nine Rookies Face Off!,Kabuto Yakushi
249,Genin Takedown! All Nine Rookies Face Off!,Ibiki Morino
250,Genin Takedown! All Nine Rookies Face Off!,Shikamaru Nara
251,Genin Takedown! All Nine Rookies Face Off!,Ino Yamanaka
252,Genin Takedown! All Nine Rookies Face Off!,Chōji Akimichi
253,Genin Takedown! All Nine Rookies Face Off!,Hinata Hyūga
254,Genin Takedown! All Nine Rookies Face Off!,Shino Aburame
255,Genin Takedown! All Nine Rookies Face Off!,Kiba Inuzuka
256,Genin Takedown! All Nine Rookies Face Off!,Zaku Abumi
257,Genin Takedown! All Nine Rookies Face Off!,Dosu Kinuta
258,Genin Takedown! All Nine Rookies Face Off!,Kin
259,Start Your Engines: The Chūnin Exam Begins!,Naruto Uzumaki
260,Start Your Engines: The Chūnin Exam Begins!,Sasuke Uchiha
261,Start Your Engines: The Chūnin Exam Begins!,Sakura Haruno
262,Start Your Engines: The Chūnin Exam Begins!,Gaara
263,Start Your Engines: The Chūnin Exam Begins!,Kankurō
264,Start Your Engines: The Chūnin Exam Begins!,Kabuto Yakushi
265,Start Your Engines: The Chūnin Exam Begins!,Ibiki Morino
266,Start Your Engines: The Chūnin Exam Begins!,Shikamaru Nara
267,Start Your Engines: The Chūnin Exam Begins!,Ino Yamanaka
268,Start Your Engines: The Chūnin Exam Begins!,Chōji Akimichi
269,Start Your Engines: The Chūnin Exam Begins!,Hinata Hyūga
270,Start Your Engines: The Chūnin Exam Begins!,Shino Aburame
271,Start Your Engines: The Chūnin Exam Begins!,Kiba Inuzuka
272,Start Your Engines: The Chūnin Exam Begins!,Neji Hyūga
273,Start Your Engines: The Chūnin Exam Begins!,Tenten
274,Start Your Engines: The Chūnin Exam Begins!,Kotetsu Hagane
275,Start Your Engines: The Chūnin Exam Begins!,Izumo Kamizuki
276,Start Your Engines: The Chūnin Exam Begins!,Zaku Abumi
277,Start Your Engines: The Chūnin Exam Begins!,Dosu Kinuta
278,Start Your Engines: The Chūnin Exam Begins!,Tonbo Tobitake
279,Start Your Engines: The Chūnin Exam Begins!,Sukima
280,Start Your Engines: The Chūnin Exam Begins!,Nejiri
281,Start Your Engines: The Chūnin Exam Begins!,Komaza
282,The Tenth Question: All or Nothing!,Naruto Uzumaki
283,The Tenth Question: All or Nothing!,Sasuke Uchiha
284,The Tenth Question: All or Nothing!,Sakura Haruno
285,The Tenth Question: All or Nothing!,Kakashi Hatake
286,The Tenth Question: All or Nothing!,Asuma Sarutobi
287,The Tenth Question: All or Nothing!,Kurenai Yūhi
288,The Tenth Question: All or Nothing!,Temari
289,The Tenth Question: All or Nothing!,Kankurō
290,The Tenth Question: All or Nothing!,Hinata Hyūga
291,The Tenth Question: All or Nothing!,Kiba Inuzuka
292,The Tenth Question: All or Nothing!,Ibiki Morino
293,The Tenth Question: All or Nothing!,Anko Mitarashi
294,The Tenth Question: All or Nothing!,Izumo Kamizuki
295,The Tenth Question: All or Nothing!,Genin
296,Special Report: Live from the Forest of Death!,Naruto Uzumaki
297,Special Report: Live from the Forest of Death!,Sasuke Uchiha
298,Special Report: Live from the Forest of Death!,Sakura Haruno
299,Special Report: Live from the Forest of Death!,Kakashi Hatake
300,Special Report: Live from the Forest of Death!,Iruka
301,Special Report: Live from the Forest of Death!,Konohamaru
302,Special Report: Live from the Forest of Death!,Anko Mitarashi
303,Special Report: Live from the Forest of Death!,Moegi
304,Special Report: Live from the Forest of Death!,Udon
305,The Chūnin Exam Stage 2: The Forest of Death,Naruto Uzumaki
306,The Chūnin Exam Stage 2: The Forest of Death,Sasuke Uchiha
307,The Chūnin Exam Stage 2: The Forest of Death,Sakura Haruno
308,The Chūnin Exam Stage 2: The Forest of Death,Anko Mitarashi
309,The Chūnin Exam Stage 2: The Forest of Death,Shikamaru Nara
310,The Chūnin Exam Stage 2: The Forest of Death,Ino Yamanaka
311,The Chūnin Exam Stage 2: The Forest of Death,Chōji Akimichi
312,The Chūnin Exam Stage 2: The Forest of Death,Rock Lee
313,The Chūnin Exam Stage 2: The Forest of Death,Neji Hyūga
314,The Chūnin Exam Stage 2: The Forest of Death,Hinata Hyūga
315,The Chūnin Exam Stage 2: The Forest of Death,Kiba Inuzuka
316,The Chūnin Exam Stage 2: The Forest of Death,Kabuto Yakushi
317,The Chūnin Exam Stage 2: The Forest of Death,Kankurō
318,The Chūnin Exam Stage 2: The Forest of Death,Dosu Kinuta
319,The Chūnin Exam Stage 2: The Forest of Death,Oboro
320,The Chūnin Exam Stage 2: The Forest of Death,Kusa shinobi
321,The Chūnin Exam Stage 2: The Forest of Death,Isshin Chiba
322,Eat or be Eaten: Panic in the Forest,Naruto Uzumaki
323,Eat or be Eaten: Panic in the Forest,Sasuke Uchiha
324,Eat or be Eaten: Panic in the Forest,Sakura Haruno
325,Eat or be Eaten: Panic in the Forest,Kusa shinobi
326,Eat or be Eaten: Panic in the Forest,Oboro
327,Naruto's Counterattack: Never Give In!,Naruto Uzumaki
328,Naruto's Counterattack: Never Give In!,Sasuke Uchiha
329,Naruto's Counterattack: Never Give In!,Sakura Haruno
330,Naruto's Counterattack: Never Give In!,Anko Mitarashi
331,Naruto's Counterattack: Never Give In!,Itachi Uchiha
332,Naruto's Counterattack: Never Give In!,Kusa shinobi
333,Naruto's Counterattack: Never Give In!,Kotetsu Hagane
334,Naruto's Counterattack: Never Give In!,Izumo Kamizuki
335,Naruto's Counterattack: Never Give In!,Mozuku
336,The Sharingan Revived: Dragon-Flame Jutsu!,Sasuke Uchiha
337,The Sharingan Revived: Dragon-Flame Jutsu!,Sakura Haruno
338,The Sharingan Revived: Dragon-Flame Jutsu!,Anko Mitarashi
339,The Sharingan Revived: Dragon-Flame Jutsu!,Itachi Uchiha
340,The Sharingan Revived: Dragon-Flame Jutsu!,Orochimaru
341,The Sharingan Revived: Dragon-Flame Jutsu!,Kusa shinobi
342,The Sharingan Revived: Dragon-Flame Jutsu!,Rock Lee
343,The Sharingan Revived: Dragon-Flame Jutsu!,Neji Hyūga
344,The Sharingan Revived: Dragon-Flame Jutsu!,Tenten
345,The Sharingan Revived: Dragon-Flame Jutsu!,Zaku Abumi
346,The Sharingan Revived: Dragon-Flame Jutsu!,Dosu Kinuta
347,Bushy Brow's Pledge: Undying Love and Protection!,Naruto Uzumaki
348,Bushy Brow's Pledge: Undying Love and Protection!,Sasuke Uchiha
349,Bushy Brow's Pledge: Undying Love and Protection!,Sakura Haruno
350,Bushy Brow's Pledge: Undying Love and Protection!,Shikamaru Nara
351,Bushy Brow's Pledge: Undying Love and Protection!,Ino Yamanaka
352,Bushy Brow's Pledge: Undying Love and Protection!,Chōji Akimichi
353,Bushy Brow's Pledge: Undying Love and Protection!,Rock Lee
354,Bushy Brow's Pledge: Undying Love and Protection!,Neji Hyūga
355,Bushy Brow's Pledge: Undying Love and Protection!,Tenten
356,Bushy Brow's Pledge: Undying Love and Protection!,Might Guy
357,Bushy Brow's Pledge: Undying Love and Protection!,Orochimaru
358,Bushy Brow's Pledge: Undying Love and Protection!,Zaku Abumi
359,Bushy Brow's Pledge: Undying Love and Protection!,Dosu Kinuta
360,Bushy Brow's Pledge: Undying Love and Protection!,Kin
361,Sakura Blossoms!,Naruto Uzumaki
362,Sakura Blossoms!,Sasuke Uchiha
363,Sakura Blossoms!,Sakura Haruno
364,Sakura Blossoms!,Shikamaru Nara
365,Sakura Blossoms!,Ino Yamanaka
366,Sakura Blossoms!,Chōji Akimichi
367,Sakura Blossoms!,Rock Lee
368,Sakura Blossoms!,Might Guy
369,Sakura Blossoms!,Zaku Abumi
370,Sakura Blossoms!,Dosu Kinuta
371,Sakura Blossoms!,Kin Tsuchi
372,Sakura Blossoms!,Shoko Kikuchi
373,Battle Formation: Ino–Shika–Chō!!,Naruto Uzumaki
374,Battle Formation: Ino–Shika–Chō!!,Sasuke Uchiha
375,Battle Formation: Ino–Shika–Chō!!,Sakura Haruno
376,Battle Formation: Ino–Shika–Chō!!,Shikamaru Nara
377,Battle Formation: Ino–Shika–Chō!!,Ino Yamanaka
378,Battle Formation: Ino–Shika–Chō!!,Chōji Akimichi
379,Battle Formation: Ino–Shika–Chō!!,Neji Hyūga
380,Battle Formation: Ino–Shika–Chō!!,Tenten
381,Battle Formation: Ino–Shika–Chō!!,Orochimaru
382,Battle Formation: Ino–Shika–Chō!!,Zaku Abumi
383,Battle Formation: Ino–Shika–Chō!!,Dosu Kinuta
384,Battle Formation: Ino–Shika–Chō!!,Kin Tsuchi
385,Akamaru Trembles: Gaara's Cruel Strength!,Naruto Uzumaki
386,Akamaru Trembles: Gaara's Cruel Strength!,Sasuke Uchiha
387,Akamaru Trembles: Gaara's Cruel Strength!,Sakura Haruno
388,Akamaru Trembles: Gaara's Cruel Strength!,Shikamaru Nara
389,Akamaru Trembles: Gaara's Cruel Strength!,Ino Yamanaka
390,Akamaru Trembles: Gaara's Cruel Strength!,Chōji Akimichi
391,Akamaru Trembles: Gaara's Cruel Strength!,Rock Lee
392,Akamaru Trembles: Gaara's Cruel Strength!,Gaara
393,Akamaru Trembles: Gaara's Cruel Strength!,Temari
394,Akamaru Trembles: Gaara's Cruel Strength!,Kankurō
395,Akamaru Trembles: Gaara's Cruel Strength!,Neji Hyūga
396,Akamaru Trembles: Gaara's Cruel Strength!,Tenten
397,Akamaru Trembles: Gaara's Cruel Strength!,Hinata Hyūga
398,Akamaru Trembles: Gaara's Cruel Strength!,Kiba Inuzuka
399,Akamaru Trembles: Gaara's Cruel Strength!,Shino Aburame
400,Akamaru Trembles: Gaara's Cruel Strength!,Anko Mitarashi
401,Akamaru Trembles: Gaara's Cruel Strength!,Iwashi Tatami
402,Akamaru Trembles: Gaara's Cruel Strength!,Shigure
403,Akamaru Trembles: Gaara's Cruel Strength!,Baiu
404,Akamaru Trembles: Gaara's Cruel Strength!,Midare
405,Akamaru Trembles: Gaara's Cruel Strength!,Keijin Okuda
406,The Scroll's Secret: No Peeking Allowed,Naruto Uzumaki
407,The Scroll's Secret: No Peeking Allowed,Sasuke Uchiha
408,The Scroll's Secret: No Peeking Allowed,Sakura Haruno
409,The Scroll's Secret: No Peeking Allowed,Kabuto Yakushi
410,The Scroll's Secret: No Peeking Allowed,Oboro
411,The Scroll's Secret: No Peeking Allowed,Minoji
412,The Scroll's Secret: No Peeking Allowed,Shibire
413,The Scroll's Secret: No Peeking Allowed,Tanzō
414,Clone vs. Clone: Mine are Better Than Yours!,Naruto Uzumaki
415,Clone vs. Clone: Mine are Better Than Yours!,Sasuke Uchiha
416,Clone vs. Clone: Mine are Better Than Yours!,Sakura Haruno
417,Clone vs. Clone: Mine are Better Than Yours!,Kabuto Yakushi
418,Clone vs. Clone: Mine are Better Than Yours!,Yoroi
419,Clone vs. Clone: Mine are Better Than Yours!,Orochimaru
420,Clone vs. Clone: Mine are Better Than Yours!,Oboro
421,Clone vs. Clone: Mine are Better Than Yours!,Mubi
422,Clone vs. Clone: Mine are Better Than Yours!,Kagari
423,Surviving the Cut: The Rookie 9 Together Again!,Naruto Uzumaki
424,Surviving the Cut: The Rookie 9 Together Again!,Sasuke Uchiha
425,Surviving the Cut: The Rookie 9 Together Again!,Sakura Haruno
426,Surviving the Cut: The Rookie 9 Together Again!,Kakashi Hatake
427,Surviving the Cut: The Rookie 9 Together Again!,Iruka
428,Surviving the Cut: The Rookie 9 Together Again!,Third Hokage: Sarutobi
429,Surviving the Cut: The Rookie 9 Together Again!,Shikamaru Nara
430,Surviving the Cut: The Rookie 9 Together Again!,Ino Yamanaka
431,Surviving the Cut: The Rookie 9 Together Again!,Chōji Akimichi
432,Surviving the Cut: The Rookie 9 Together Again!,Kurenai Yūhi
433,Surviving the Cut: The Rookie 9 Together Again!,Hinata Hyūga
434,Surviving the Cut: The Rookie 9 Together Again!,Kiba Inuzuka
435,Surviving the Cut: The Rookie 9 Together Again!,Hayate Gekkō
436,Surviving the Cut: The Rookie 9 Together Again!,Might Guy
437,Surviving the Cut: The Rookie 9 Together Again!,Rock Lee
438,Surviving the Cut: The Rookie 9 Together Again!,Neji Hyūga
439,Surviving the Cut: The Rookie 9 Together Again!,Tenten
440,Surviving the Cut: The Rookie 9 Together Again!,Baki
441,Surviving the Cut: The Rookie 9 Together Again!,Gaara
442,Surviving the Cut: The Rookie 9 Together Again!,Temari
443,Surviving the Cut: The Rookie 9 Together Again!,Kabuto Yakushi
444,Surviving the Cut: The Rookie 9 Together Again!,Zaku Abumi
445,Surviving the Cut: The Rookie 9 Together Again!,Anko Mitarashi
446,Surviving the Cut: The Rookie 9 Together Again!,Kotetsu Hagane
447,Surviving the Cut: The Rookie 9 Together Again!,Izumo Kamizuki
448,Surviving the Cut: The Rookie 9 Together Again!,Iwashi Tatami
449,Surviving the Cut: The Rookie 9 Together Again!,Orochimaru
450,Narrowing the Field: Sudden Death Elimination!,Naruto Uzumaki
451,Narrowing the Field: Sudden Death Elimination!,Sasuke Uchiha
452,Narrowing the Field: Sudden Death Elimination!,Sakura Haruno
453,Narrowing the Field: Sudden Death Elimination!,Kakashi Hatake
454,Narrowing the Field: Sudden Death Elimination!,Third Hokage: Sarutobi
455,Narrowing the Field: Sudden Death Elimination!,Shikamaru Nara
456,Narrowing the Field: Sudden Death Elimination!,Ino Yamanaka
457,Narrowing the Field: Sudden Death Elimination!,Chōji Akimichi
458,Narrowing the Field: Sudden Death Elimination!,Hinata Hyūga
459,Narrowing the Field: Sudden Death Elimination!,Kiba Inuzuka
460,Narrowing the Field: Sudden Death Elimination!,Hayate Gekkō
461,Narrowing the Field: Sudden Death Elimination!,Kabuto Yakushi
462,Narrowing the Field: Sudden Death Elimination!,Anko Mitarashi
463,Narrowing the Field: Sudden Death Elimination!,Rock Lee
464,Narrowing the Field: Sudden Death Elimination!,Neji Hyūga
465,Narrowing the Field: Sudden Death Elimination!,Gaara
466,Narrowing the Field: Sudden Death Elimination!,Ibiki Morino
467,Narrowing the Field: Sudden Death Elimination!,Yoroi
